source,config,encoder,preset,quality,source_bytes,output_bytes,size_pct,encode_seconds,vmaf_mean,vmaf_min,vmaf_p1,cambi_mean,cambi_max
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-17","libx265","slow","17",1361706237,1109981815,81.51,2096,76.464144,0.000000,0.000000,0.007158,6.562186
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-16","libx265","slow","16",1361706237,1254560805,92.13,2206,76.539943,0.000000,0.000000,0.005657,6.549597
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-18-psyrd15","libx265","slow","psyrd15",1361706237,1010188312,74.19,2042,76.403492,0.000000,0.000000,0.006532,6.515342
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-20-psyrd15","libx265","slow","psyrd15",1361706237,746615752,54.83,1840,76.153252,0.000000,0.000000,0.009509,6.520978
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-18-tune-anim","libx265","slow","anim",1361706237,605289138,44.45,1647,76.147491,0.000000,0.000000,0.221057,6.376290
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slow-17","libx265","slow","17",1846228371,702240601,38.04,1787,97.278211,88.264263,93.411812,0.516195,7.026886
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-17","libx265","slow","17",1300163196,1197258342,92.09,2651,83.319151,0.000000,0.000000,0.094297,19.196550
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-16","libx265","slow","16",1300163196,1410375026,108.48,2783,83.412978,0.000000,0.000000,0.098877,19.489469
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-17","libx265","slow","17",2222060920,2249129347,101.22,2268,97.493821,90.143140,95.306091,0.392042,23.914353
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-16","libx265","slow","16",2222060920,2587731142,116.46,2373,97.717174,90.975218,95.709784,0.386063,23.767848
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-18-psyrd15","libx265","slow","psyrd15",1300163196,1076929802,82.83,2604,83.241231,0.000000,0.000000,0.081216,19.253095
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-18-psyrd15","libx265","slow","psyrd15",2222060920,2022214622,91.01,2194,97.261752,89.993974,94.922203,0.345084,23.753020
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-20-psyrd15","libx265","slow","psyrd15",1300163196,759406262,58.41,2538,83.000680,0.000000,0.000000,0.077177,18.539778
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-20-psyrd15","libx265","slow","psyrd15",2222060920,1472458966,66.27,1967,96.616478,88.566682,93.683706,0.357987,23.612203
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-18-tune-anim","libx265","slow","anim",1300163196,639035629,49.15,2169,82.992374,0.000000,0.000000,0.323379,11.843794
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-18-tune-anim","libx265","slow","anim",2222060920,1387534822,62.44,1876,96.904078,86.038651,93.664498,0.791900,12.091066
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-17","libx265","slow","17",1712391412,719030799,41.99,1992,86.163336,0.000000,0.000000,1.089659,17.634025
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-16","libx265","slow","16",1712391412,879444183,51.36,1964,86.246920,0.000000,0.000000,1.063733,17.984777
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-18-psyrd15","libx265","slow","psyrd15",1712391412,624536814,36.47,1797,86.080120,0.000000,0.000000,0.988267,17.539370
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-20-psyrd15","libx265","slow","psyrd15",1712391412,417500311,24.38,1622,85.865537,0.000000,0.000000,1.101343,16.718976
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-18-tune-anim","libx265","slow","anim",1712391412,324606470,18.96,1428,85.792579,0.000000,0.000000,1.614521,9.112279
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","svtav1-p2-28","libsvtav1","p2","28",1300163196,311792525,23.98,3033,82.686923,0.000000,0.000000,0.600354,7.272902
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","svtav1-p2-28","libsvtav1","p2","28",2222060920,485015846,21.83,3191,95.910610,75.513311,90.409516,1.314449,7.631319
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","svtav1-p4-26","libsvtav1","p4","26",2222060920,545251922,24.54,579,95.664210,75.516473,90.024175,1.285248,8.051747
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","svtav1-p4-26","libsvtav1","p4","26",1300163196,349236423,26.86,692,82.495674,0.000000,0.000000,0.586850,7.571500
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","svtav1-p4-28","libsvtav1","p4","28",2222060920,462817161,20.83,585,95.355310,74.728392,89.026401,1.318868,7.606220
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","svtav1-p4-28","libsvtav1","p4","28",1300163196,309945375,23.84,683,82.368821,0.000000,0.000000,0.596062,7.283233
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","svtav1-p4-30","libsvtav1","p4","30",2222060920,413046748,18.59,580,95.095933,73.625116,88.127820,1.341661,7.135922
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","svtav1-p4-30","libsvtav1","p4","30",1300163196,279833212,21.52,682,82.239742,0.000000,0.000000,0.600891,7.304659
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","svtav1-p6-28","libsvtav1","p6","28",2222060920,563537612,25.36,318,95.428162,75.661772,89.284012,1.227593,7.323691
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","svtav1-p6-28","libsvtav1","p6","28",1300163196,355490870,27.34,360,82.235384,0.000000,0.000000,0.576999,7.920157
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","svtav1-p2-28","libsvtav1","p2","28",1712391412,203579162,11.89,2242,85.966631,0.000000,0.000000,1.957475,7.128498
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","svtav1-p4-26","libsvtav1","p4","26",1712391412,248529272,14.51,585,85.940031,0.000000,0.000000,1.877079,7.164783
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","svtav1-p4-28","libsvtav1","p4","28",1712391412,223767006,13.07,620,85.868555,0.000000,0.000000,1.896388,7.293620
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","svtav1-p4-30","libsvtav1","p4","30",1712391412,204767388,11.96,641,85.796387,0.000000,0.000000,1.919657,7.695082
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","svtav1-p6-28","libsvtav1","p6","28",1712391412,232654314,13.59,323,85.737615,0.000000,0.000000,1.888829,7.453640
"/media/tv/Monogatari/Season 2/Monogatari - S02E02 - Karen Bee - Part 2 Bluray-1080p.mkv","x265-slow-20","libx265","slow","20",1615446557,622625125,38.54,1713,97.181637,81.631238,95.152094,0.633592,6.588786
"/media/tv/Monogatari/Season 2/Monogatari - S02E02 - Karen Bee - Part 2 Bluray-1080p.mkv","svtav1-p2-28","libsvtav1","p2","28",1615446557,433211325,26.82,2470,97.424346,80.603604,94.321999,0.768064,7.391226
"/media/tv/Monogatari/Season 2/Monogatari - S02E02 - Karen Bee - Part 2 Bluray-1080p.mkv","svtav1-p4-26","libsvtav1","p4","26",1615446557,501528060,31.05,614,97.432068,80.603604,94.277015,0.729565,7.827690
"/media/tv/Monogatari/Season 2/Monogatari - S02E02 - Karen Bee - Part 2 Bluray-1080p.mkv","x265-slow-21","libx265","slow","21",1615446557,559780298,34.65,1664,97.024675,81.573876,94.779597,0.633025,6.919045
"/media/tv/Monogatari/Season 2/Monogatari - S02E02 - Karen Bee - Part 2 Bluray-1080p.mkv","svtav1-p4-28","libsvtav1","p4","28",1615446557,458212623,28.36,622,97.344482,80.603604,93.864699,0.743449,8.061347
